2021-11-30 11:49:49,657 CRITICAL config_client_log.py Критическая ошибка
2021-11-30 11:49:49,657 ERROR    config_client_log.py Ошибка
2021-12-03 16:33:33,110 DEBUG    decorated.py Функция send_message c параметрами (<socket.socket fd=348, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60768), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1638538413.110781, 'user': {'account_name': 'Guest'}}), {} - была вызвана из модуля main
2021-12-03 16:33:33,119 DEBUG    decorated.py Функция get_message c параметрами (<socket.socket fd=348, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60768), raddr=('127.0.0.1', 7777)>,), {} - была вызвана из модуля main
2021-12-03 16:33:33,119 DEBUG    client.py Чтение сообщения от сервера: {'response': 200}
2021-12-03 16:33:33,119 INFO     client.py Cообщение от сервера прочитано успешно
2021-12-03 16:33:33,119 DEBUG    decorated.py Функция read_answer c параметрами ({'response': 200},), {} - была вызвана из модуля main
2021-12-05 17:08:15,343 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {} - была вызвана из модуля main
2021-12-05 17:08:15,343 INFO     client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: listen
2021-12-05 17:08:15,376 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {} - была вызвана из модуля main
2021-12-05 17:08:15,376 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {} - была вызвана из модуля main
� работы: send
2021-12-05 17:08:15,376 INFO     client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: listen
2021-12-05 17:08:15,376 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {} - была вызвана из модуля main
2021-12-05 17:08:15,376 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {} - была вызвана из модуля main
2021-12-05 17:08:15,376 DEBUG    client.py Создано сообщение: {'action': 'presence', 'time': 1638713295.3765285, 'user': {'account_name': 'Guest'}} для пользователя Guest
2021-12-05 17:08:15,376 INFO     client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: listen
2021-12-05 17:08:15,376 INFO     client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: listen
2021-12-05 17:08:15,376 DEBUG    client.py Создано сообщение: {'action': 'presence', 'time': 1638713295.3765285, 'user': {'account_name': 'Guest'}} для пользователя Guest
2021-12-05 17:08:15,384 DEBUG    decorated.py Функция say_hello c параметрами (), {} - была вызвана из модуля main
2021-12-05 17:08:15,385 DEBUG    decorated.py Функция say_hello c параметрами (), {} - была вызвана из модуля main
2021-12-05 17:08:15,385 DEBUG    client.py Создано сообщение: {'action': 'presence', 'time': 1638713295.385035, 'user': {'account_name': 'Guest'}} для пользователя Guest
2021-12-05 17:08:15,385 DEBUG    decorated.py Функция say_hello c параметрами (), {} - была вызвана из модуля main
2021-12-05 17:08:15,385 DEBUG    decorated.py Функция send_message c параметрами (<socket.socket fd=504, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55675), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1638713295.3765285, 'user': {'account_name': 'Guest'}}), {} - была вызвана из модуля main
2021-12-05 17:08:15,385 DEBUG    decorated.py Функция send_message c параметрами (<socket.socket fd=464, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55677), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1638713295.385035, 'user': {'account_name': 'Guest'}}), {} - была вызвана из модуля main
2021-12-05 17:08:15,385 DEBUG    decorated.py Функция send_message c параметрами (<socket.socket fd=404, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55676), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1638713295.385035, 'user': {'account_name': 'Guest'}}), {} - была вызвана из модуля main
2021-12-05 17:08:15,385 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {} - была вызвана из модуля main
2021-12-05 17:08:15,393 INFO     client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: listen
2021-12-05 17:08:15,393 DEBUG    client.py Создано сообщение: {'action': 'presence', 'time': 1638713295.3933358, 'user': {'account_name': 'Guest'}} для пользователя Guest
2021-12-05 17:08:15,393 DEBUG    decorated.py Функция say_hello c параметрами (), {} - была вызвана из модуля main
2021-12-05 17:08:15,393 DEBUG    decorated.py Функция send_message c параметрами (<socket.socket fd=316, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55678), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1638713295.3933358, 'user': {'account_name': 'Guest'}}), {} - была вызвана из модуля main
2021-12-05 17:08:15,401 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {} - была вызвана из модуля main
2021-12-05 17:08:15,401 INFO     client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
2021-12-05 17:08:15,401 DEBUG    client.py Создано сообщение: {'action': 'presence', 'time': 1638713295.4015496, 'user': {'account_name': 'Guest'}} для пользователя Guest
2021-12-05 17:08:15,401 DEBUG    decorated.py Функция say_hello c параметрами (), {} - была вызвана из модуля main
2021-12-05 17:08:15,401 DEBUG    decorated.py Функция send_message c параметрами (<socket.socket fd=320, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55679), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1638713295.4015496, 'user': {'account_name': 'Guest'}}), {} - была вызвана из модуля main
2021-12-05 17:08:15,458 DEBUG    decorated.py Функция get_message c параметрами (<socket.socket fd=348, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55674), raddr=('127.0.0.1', 7777)>,), {} - была вызвана из модуля main
